IOC_Code,ISO_Code,Source
AFG,AFG,Auto
ALB,ALB,Auto
ALG,DZA,Manual
AND,AND,Auto
ANG,AGO,Auto
ANT,ATG,Auto
ARG,ARG,Manual
ARM,ARM,Auto
ARU,ABW,Auto
ASA,ASM,Auto
AUS,AUS,Manual
AUT,AUT,Manual
AZE,AZE,Auto
BAH,BHS,Auto
BAN,BGD,Auto
BAR,BRB,Auto
BDI,BDI,Auto
BEL,BEL,Manual
BEN,BEN,Auto
BER,BMU,Auto
BHU,BTN,Auto
BIH,BIH,Auto
BIZ,BLZ,Auto
BLR,BLR,Auto
BOL,BOL,Auto
BOT,BWA,Auto
BRA,BRA,Manual
BRN,BHR,Auto
BRU,BRN,Auto
BUL,BGR,Manual
BUR,BFA,Auto
CAF,CAF,Auto
CAM,KHM,Auto
CAN,CAN,Manual
CAY,CYM,Auto
CHA,TCD,Auto
CHI,CHL,Manual
CHN,CHN,Manual
CIV,CIV,Auto
CMR,CMR,Auto
COK,COK,Auto
COL,COL,Manual
COM,COM,Auto
CPV,CPV,Auto
CRC,CRI,Auto
CRO,HRV,Manual
CUB,CUB,Manual
CYP,CYP,Auto
CZE,CZE,Manual
DEN,DNK,Manual
DJI,DJI,Auto
DMA,DMA,Auto
DOM,DOM,Auto
ECU,ECU,Auto
EGY,EGY,Manual
ERI,ERI,Auto
ESA,SLV,Auto
ESP,ESP,Manual
EST,EST,Manual
ETH,ETH,Auto
FIJ,FJI,Auto
FIN,FIN,Manual
FRA,FRA,Manual
GAB,GAB,Auto
GAM,GMB,Auto
GBR,GBR,Manual
GBS,GNB,Auto
GEO,GEO,Auto
GEQ,GNQ,Auto
GER,DEU,Manual
GHA,GHA,Auto
GRE,GRC,Manual
GRN,GRD,Auto
GUA,GTM,Auto
GUI,GIN,Auto
GUM,GUM,Auto
GUY,GUY,Auto
HAI,HTI,Auto
HKG,HKG,Auto
HON,HND,Auto
HUN,HUN,Manual
INA,IDN,Manual
IND,IND,Manual
IRI,IRN,Manual
IRL,IRL,Manual
IRQ,IRQ,Auto
ISL,ISL,Auto
ISR,ISR,Manual
ISV,VIR,Auto
ITA,ITA,Manual
IVB,VGB,Auto
JAM,JAM,Manual
JOR,JOR,Auto
JPN,JPN,Manual
KAZ,KAZ,Manual
KEN,KEN,Manual
KGZ,KGZ,Auto
KIR,KIR,Auto
KOR,KOR,Manual
KSA,SAU,Manual
KUW,KWT,Auto
LAO,LAO,Auto
LAT,LVA,Manual
LBA,LBY,Auto
LBR,LBR,Auto
LCA,LCA,Auto
LES,LSO,Auto
LIB,LBN,Auto
LIE,LIE,Auto
LTU,LTU,Manual
LUX,LUX,Auto
MAD,MDG,Auto
MAR,MAR,Manual
MAS,MYS,Manual
MAW,MWI,Auto
MDA,MDA,Auto
MDV,MDV,Auto
MEX,MEX,Manual
MGL,MNG,Auto
MHL,MHL,Auto
MKD,MKD,Auto
MLI,MLI,Auto
MLT,MLT,Auto
MNE,MNE,Auto
MON,MCO,Auto
MOZ,MOZ,Auto
MRI,MUS,Auto
MTN,MRT,Auto
MYA,MMR,Auto
NAM,NAM,Auto
NCA,NIC,Auto
NED,NLD,Manual
NEP,NPL,Auto
NGR,NGA,Auto
NIG,NER,Auto
NOR,NOR,Manual
NRU,NRU,Auto
NZL,NZL,Manual
OMA,OMN,Auto
PAK,PAK,Manual
PAN,PAN,Auto
PAR,PRY,Auto
PER,PER,Manual
PHI,PHL,Manual
PLE,PSE,Auto
PLW,PLW,Auto
PNG,PNG,Auto
POL,POL,Manual
POR,PRT,Manual
PRK,PRK,Auto
PUR,PRI,Auto
QAT,QAT,Auto
ROU,ROU,Manual
RSA,ZAF,Manual
RUS,RUS,Manual
RWA,RWA,Auto
SAM,WSM,Auto
SEN,SEN,Manual
SEY,SYC,Auto
SGP,SGP,Auto
SIN,SGP,Manual
SKN,KNA,Auto
SLE,SLE,Auto
SLO,SVN,Manual
SMR,SMR,Auto
SOL,SLB,Auto
SOM,SOM,Auto
SRB,SRB,Manual
SRI,LKA,Manual
SSD,SSD,Auto
STP,STP,Auto
SUD,SDN,Manual
SUI,CHE,Manual
SUR,SUR,Auto
SVK,SVK,Auto
SWE,SWE,Manual
SYR,SYR,Auto
TAN,TZA,Auto
TGA,TON,Auto
THA,THA,Manual
TJK,TJK,Auto
TKM,TKM,Auto
TOG,TGO,Auto
TPE,TWN,Manual
TTO,TTO,Auto
TUN,TUN,Manual
TUR,TUR,Manual
TUV,TUV,Auto
UAE,ARE,Auto
UGA,UGA,Auto
UKR,UKR,Manual
URS,RUS,Manual
URU,URY,Manual
USA,USA,Manual
UZB,UZB,Manual
VAN,VUT,Auto
VEN,VEN,Manual
VIE,VNM,Manual
VIN,VCT,Auto
YEM,YEM,Auto
ZAM,ZMB,Auto
ZIM,ZWE,Manual
